,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.004431,0.009459,0.0,1.6e-05,0.000454,0.00411,0.070255
dr-ibt,500.0,0.01227,0.01695,0.0,0.000946,0.005266,0.017032,0.111465
dr-ibt (tau=0),500.0,0.022389,0.028033,4e-06,0.002671,0.010818,0.031363,0.162733
dm,500.0,0.014316,0.01379,0.0,0.003191,0.010845,0.022809,0.07799
dr,500.0,0.010702,0.015397,0.0,0.000959,0.004351,0.01471,0.107503
mrdr,500.0,0.012547,0.016721,0.0,0.00139,0.005686,0.01679,0.104343
dr-os (oracle),500.0,0.003956,0.008614,0.0,3.9e-05,0.000342,0.003247,0.06771
dr-os,500.0,0.010719,0.014622,0.0,0.001119,0.004807,0.015001,0.110125
switch-dr (oracle),500.0,0.003381,0.006615,0.0,5.9e-05,0.000504,0.002747,0.047021
switch-dr,500.0,0.011569,0.015888,0.0,0.001231,0.005316,0.016197,0.107143
