,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.005,0.011205,0.0,9e-06,0.000343,0.004365,0.081754
dr-ibt,500.0,0.013766,0.019158,0.0,0.00124,0.005793,0.018555,0.11967
dr-ibt (tau=0),500.0,0.017612,0.022937,0.0,0.00191,0.008801,0.024437,0.14479
dm,500.0,0.017752,0.01675,1e-06,0.004595,0.012786,0.026763,0.111149
dr,500.0,0.010302,0.014329,1e-06,0.001001,0.004738,0.014111,0.122584
mrdr,500.0,0.01251,0.017203,0.0,0.001605,0.006396,0.016342,0.12504
dr-os (oracle),500.0,0.004685,0.009465,0.0,6e-05,0.000559,0.003776,0.074031
dr-os,500.0,0.009747,0.014032,0.0,0.000723,0.003616,0.013024,0.096494
switch-dr (oracle),500.0,0.005398,0.009701,0.0,0.000158,0.001128,0.005441,0.064825
switch-dr,500.0,0.011893,0.016842,0.0,0.001211,0.00529,0.01558,0.158928
