,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.004293,0.007172,0.0,3.3e-05,0.001177,0.005792,0.058489
dr-ibt,500.0,0.007904,0.011438,0.0,0.000838,0.003743,0.010012,0.095793
dr-ibt (tau=0),500.0,0.034155,0.032243,1e-06,0.006308,0.025339,0.052854,0.169301
dm,500.0,0.009692,0.008128,0.0,0.003285,0.007983,0.014644,0.041842
dr,500.0,0.006241,0.008509,0.0,0.000765,0.003086,0.007914,0.069516
mrdr,500.0,0.007159,0.009491,0.0,0.000779,0.003454,0.010055,0.074726
dr-os (oracle),500.0,0.001073,0.002446,0.0,3.9e-05,0.00022,0.000841,0.019756
dr-os,500.0,0.006059,0.009674,0.0,0.000498,0.002294,0.008038,0.087785
switch-dr (oracle),500.0,0.001546,0.00342,0.0,7.7e-05,0.000417,0.001649,0.050115
switch-dr,500.0,0.005781,0.007569,0.0,0.000683,0.002972,0.008295,0.061738
