,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.012639,0.015367,0.0,0.00122,0.007186,0.018347,0.10167
dr-ibt,500.0,0.015798,0.017487,0.0,0.002497,0.00919,0.023964,0.100988
dr-ibt (tau=0),500.0,0.057764,0.047293,0.0,0.018765,0.048688,0.08998,0.23049
dm,500.0,0.003161,0.00421,0.0,0.000334,0.001576,0.004313,0.033349
dr,500.0,0.015475,0.016634,0.0,0.00298,0.010453,0.022685,0.105915
mrdr,500.0,0.016032,0.016993,0.0,0.002889,0.010961,0.024134,0.097341
dr-os (oracle),500.0,0.00056,0.001275,0.0,1.6e-05,0.0001,0.000418,0.011928
dr-os,500.0,0.013706,0.014494,0.0,0.002935,0.008653,0.019582,0.114632
switch-dr (oracle),500.0,0.000609,0.001348,0.0,9e-06,8.4e-05,0.000559,0.011139
switch-dr,500.0,0.016722,0.017653,2e-06,0.0032,0.01194,0.024631,0.098104
