,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00391,0.006498,0.0,1.9e-05,0.000602,0.004772,0.0494
dr-ibt,500.0,0.007649,0.010048,0.0,0.000803,0.003803,0.011216,0.086179
dr-ibt (tau=0),500.0,0.027118,0.02876,2e-06,0.005552,0.017854,0.038535,0.163407
dm,500.0,0.008065,0.008262,0.0,0.001932,0.005496,0.011844,0.052495
dr,500.0,0.006473,0.008539,0.0,0.000597,0.003281,0.009029,0.054915
mrdr,500.0,0.007033,0.009006,0.0,0.000695,0.003687,0.009489,0.067283
dr-os (oracle),500.0,0.000978,0.002658,0.0,2.1e-05,0.000109,0.000519,0.032718
dr-os,500.0,0.005896,0.008053,0.0,0.000635,0.002749,0.007961,0.053336
switch-dr (oracle),500.0,0.001144,0.002826,0.0,3.7e-05,0.000209,0.000863,0.024122
switch-dr,500.0,0.006039,0.007826,0.0,0.000605,0.002907,0.008584,0.042814
