,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.002306,0.004228,0.0,2.1e-05,0.000369,0.002632,0.0279
dr-ibt,500.0,0.006131,0.008977,0.0,0.000639,0.002745,0.008188,0.083041
dr-ibt (tau=0),500.0,0.012438,0.010319,0.0,0.004035,0.009956,0.01823,0.056003
dm,500.0,0.018719,0.012739,6e-06,0.009627,0.016253,0.024459,0.073742
dr,500.0,0.005246,0.007604,0.0,0.000571,0.002146,0.006687,0.049832
mrdr,500.0,0.005932,0.008488,0.0,0.000593,0.002676,0.00722,0.05567
dr-os (oracle),500.0,0.00352,0.006802,0.0,6.9e-05,0.000551,0.003951,0.057072
dr-os,500.0,0.005411,0.007491,0.0,0.000502,0.002478,0.007467,0.058424
switch-dr (oracle),500.0,0.003136,0.005209,0.0,0.0002,0.001008,0.0037,0.038215
switch-dr,500.0,0.005243,0.006915,0.0,0.000648,0.002645,0.007251,0.054827
