,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.004345,0.007163,0.0,2.7e-05,0.000932,0.005401,0.042762
dr-ibt,500.0,0.007751,0.010704,0.0,0.000819,0.003748,0.01081,0.071694
dr-ibt (tau=0),500.0,0.032216,0.032245,1e-06,0.005986,0.02157,0.051121,0.157036
dm,500.0,0.008126,0.007834,0.0,0.002173,0.005649,0.011439,0.042559
dr,500.0,0.006391,0.009505,0.0,0.000498,0.002688,0.007939,0.066162
mrdr,500.0,0.006809,0.009286,0.0,0.000694,0.003472,0.008746,0.067244
dr-os (oracle),500.0,0.001215,0.003795,0.0,1.5e-05,8.8e-05,0.000439,0.047669
dr-os,500.0,0.006385,0.008514,0.0,0.000682,0.00324,0.008742,0.047669
switch-dr (oracle),500.0,0.000947,0.002061,0.0,3e-05,0.000207,0.000855,0.018314
switch-dr,500.0,0.006018,0.008964,0.0,0.000446,0.002334,0.007875,0.059172
