,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00296,0.005973,0.0,1.2e-05,0.000332,0.00288,0.04972
dr-ibt,500.0,0.006834,0.009126,0.0,0.000806,0.003218,0.009604,0.060492
dr-ibt (tau=0),500.0,0.023935,0.025278,0.0,0.004316,0.016165,0.034243,0.13668
dm,500.0,0.01324,0.009823,9e-06,0.005775,0.010856,0.018715,0.050279
dr,500.0,0.005164,0.007214,0.0,0.000471,0.002372,0.006569,0.054552
mrdr,500.0,0.005903,0.007978,0.0,0.000735,0.002709,0.007643,0.051527
dr-os (oracle),500.0,0.001657,0.003738,0.0,3.5e-05,0.000238,0.001028,0.027715
dr-os,500.0,0.005346,0.007161,0.0,0.000517,0.002623,0.006934,0.05051
switch-dr (oracle),500.0,0.002177,0.004066,0.0,0.000113,0.000566,0.002476,0.037976
switch-dr,500.0,0.005716,0.008368,0.0,0.000486,0.002705,0.007638,0.077563
