,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000144,0.000497,0.0,0.0,3e-06,8.5e-05,0.007941
dr-ibt,500.0,0.000341,0.000658,0.0,2.3e-05,0.000117,0.000394,0.00784
dr-ibt (tau=0),500.0,0.000331,0.000554,0.0,3.7e-05,0.00015,0.000464,0.007941
dm,500.0,0.013988,0.006143,0.002653,0.009503,0.013247,0.017895,0.036572
dr,500.0,0.000685,0.001003,0.0,6.2e-05,0.000306,0.000887,0.00734
mrdr,500.0,0.000461,0.000758,0.0,3.8e-05,0.000183,0.000537,0.006772
dr-os (oracle),500.0,0.000499,0.000909,0.0,1.8e-05,0.000147,0.000564,0.007419
dr-os,500.0,0.000687,0.001006,0.0,5.9e-05,0.000312,0.000852,0.007419
switch-dr (oracle),500.0,0.000637,0.000957,0.0,4.5e-05,0.000265,0.000798,0.00734
switch-dr,500.0,0.000685,0.001003,0.0,6.2e-05,0.000306,0.000887,0.00734
