,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,2.9e-05,6.5e-05,0.0,0.0,1e-06,2.4e-05,0.000534
dr-ibt,500.0,0.000139,0.000149,0.0,2.8e-05,8.5e-05,0.000214,0.00082
dr-ibt (tau=0),500.0,0.000604,0.000362,1e-06,0.000321,0.000576,0.000867,0.001706
dm,500.0,0.011502,0.002916,0.004801,0.009546,0.011413,0.013098,0.020756
dr,500.0,0.000269,0.000336,0.0,2.9e-05,0.000146,0.00035,0.002012
mrdr,500.0,0.000156,0.000178,0.0,2.2e-05,9.1e-05,0.000231,0.00129
dr-os (oracle),500.0,9.9e-05,0.000165,0.0,5e-06,2.3e-05,0.000132,0.00149
dr-os,500.0,0.000245,0.000311,0.0,2.6e-05,0.000135,0.000325,0.001907
switch-dr (oracle),500.0,0.00012,0.000208,0.0,6e-06,3.2e-05,0.00013,0.001482
switch-dr,500.0,0.000269,0.000336,0.0,2.9e-05,0.000146,0.00035,0.002012
