,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,1.1e-05,3.1e-05,0.0,0.0,1e-06,4e-06,0.000234
dr-ibt,500.0,0.000101,0.000127,0.0,1.3e-05,5.1e-05,0.000141,0.000876
dr-ibt (tau=0),500.0,0.000382,0.000278,0.0,0.000161,0.000332,0.000554,0.001222
dm,500.0,0.013456,0.003121,0.006457,0.011348,0.013275,0.015548,0.023342
dr,500.0,0.000226,0.000308,0.0,2.3e-05,0.000111,0.000319,0.002325
mrdr,500.0,0.0001,0.000114,0.0,1.3e-05,5.6e-05,0.000159,0.000682
dr-os (oracle),500.0,0.000108,0.000195,0.0,7e-06,2.9e-05,0.000126,0.001394
dr-os,500.0,0.000215,0.000293,0.0,2.1e-05,0.000104,0.000305,0.002175
switch-dr (oracle),500.0,0.00014,0.000216,0.0,9e-06,4.6e-05,0.000167,0.001366
switch-dr,500.0,0.000226,0.000308,0.0,2.3e-05,0.000111,0.000319,0.002325
