,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,9e-06,3.1e-05,0.0,0.0,0.0,3e-06,0.000339
dr-ibt,500.0,8.9e-05,0.000115,0.0,9e-06,4.4e-05,0.000119,0.000728
dr-ibt (tau=0),500.0,0.00029,0.000246,0.0,8.9e-05,0.00024,0.000416,0.001228
dm,500.0,0.010472,0.002994,0.003681,0.008554,0.010404,0.012185,0.020473
dr,500.0,0.000155,0.000213,0.0,1.6e-05,6.8e-05,0.000218,0.001447
mrdr,500.0,8.8e-05,0.000111,0.0,1e-05,4.5e-05,0.000126,0.000652
dr-os (oracle),500.0,8e-05,0.000121,0.0,4e-06,2.8e-05,0.000104,0.000904
dr-os,500.0,0.00015,0.000205,0.0,1.4e-05,6.6e-05,0.000202,0.001389
switch-dr (oracle),500.0,0.000113,0.000176,0.0,7e-06,3.6e-05,0.000157,0.001172
switch-dr,500.0,0.000155,0.000213,0.0,1.6e-05,6.8e-05,0.000218,0.001447
