,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000945,0.001999,0.0,5e-06,0.000163,0.000913,0.0189
dr-ibt,500.0,0.001351,0.00237,0.0,0.0001,0.000514,0.001423,0.019491
dr-ibt (tau=0),500.0,0.001203,0.002137,0.0,7.5e-05,0.000385,0.001298,0.0189
dm,500.0,0.012104,0.009121,1.4e-05,0.005743,0.010213,0.016373,0.059091
dr,500.0,0.002196,0.003201,0.0,0.000214,0.00104,0.002915,0.031281
mrdr,500.0,0.001755,0.002659,0.0,0.000159,0.00079,0.002185,0.03007
dr-os (oracle),500.0,0.001396,0.002866,0.0,3.4e-05,0.000334,0.001457,0.031389
dr-os,500.0,0.002163,0.003168,0.0,0.000214,0.001053,0.002943,0.031389
switch-dr (oracle),500.0,0.001581,0.002836,0.0,0.000109,0.000566,0.001795,0.031281
switch-dr,500.0,0.002196,0.003201,0.0,0.000214,0.00104,0.002915,0.031281
