,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.068225,0.039499,0.001979,0.039463,0.062777,0.089668,0.245571
dr-ibt,500.0,0.0787,0.04329,0.001712,0.047147,0.071372,0.105417,0.264473
dr-ibt (tau=0),500.0,0.09449,0.045641,0.008232,0.061052,0.088688,0.121999,0.288105
dm,500.0,0.099402,0.047183,0.010706,0.06723,0.092647,0.126776,0.327944
dr,500.0,0.075538,0.042263,0.000422,0.044426,0.069824,0.101889,0.259965
mrdr,500.0,0.077344,0.045288,0.004078,0.045424,0.069387,0.103334,0.277129
dr-os (oracle),500.0,0.073699,0.04039,0.008712,0.041402,0.067584,0.096731,0.285946
dr-os,500.0,0.074768,0.04139,0.008712,0.041765,0.069718,0.098263,0.292152
switch-dr (oracle),500.0,0.067201,0.038475,0.002296,0.039113,0.061928,0.086788,0.210276
switch-dr,500.0,0.072053,0.041637,0.002296,0.042479,0.064855,0.093374,0.233961
