,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.072494,0.039503,0.003097,0.043493,0.066285,0.094874,0.219174
dr-ibt,500.0,0.080542,0.040298,0.005385,0.049918,0.075305,0.104091,0.220138
dr-ibt (tau=0),500.0,0.106051,0.047407,0.015513,0.072101,0.100247,0.133066,0.289394
dm,500.0,0.108621,0.048762,0.011027,0.073266,0.103948,0.132919,0.314623
dr,500.0,0.084192,0.047296,0.001028,0.048722,0.077332,0.11136,0.288429
mrdr,500.0,0.084754,0.049447,0.000365,0.049012,0.077023,0.110396,0.271736
dr-os (oracle),500.0,0.078586,0.039028,0.001749,0.048324,0.072386,0.100562,0.247774
dr-os,500.0,0.079683,0.040131,0.001749,0.048698,0.074197,0.101491,0.247774
switch-dr (oracle),500.0,0.078493,0.042084,0.008332,0.048554,0.072204,0.10019,0.289872
switch-dr,500.0,0.08181,0.0442,0.008332,0.04961,0.075435,0.10496,0.349157
