,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000823,0.001788,0.0,9e-06,0.000125,0.000756,0.018556
dr-ibt,500.0,0.001091,0.001903,0.0,0.000121,0.000435,0.001219,0.018216
dr-ibt (tau=0),500.0,0.001112,0.002028,0.0,6.7e-05,0.00034,0.001168,0.021034
dm,500.0,0.012234,0.009827,0.0,0.005225,0.009786,0.016711,0.067033
dr,500.0,0.001769,0.002609,0.0,0.000208,0.000832,0.002357,0.022424
mrdr,500.0,0.001391,0.002023,0.0,0.000161,0.000624,0.001781,0.013802
dr-os (oracle),500.0,0.001126,0.002346,0.0,3.6e-05,0.000259,0.00104,0.022601
dr-os,500.0,0.001756,0.002599,0.0,0.000215,0.000802,0.002296,0.022601
switch-dr (oracle),500.0,0.00127,0.002342,0.0,0.000102,0.000406,0.001445,0.022424
switch-dr,500.0,0.001769,0.002609,0.0,0.000208,0.000832,0.002357,0.022424
