,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.071262,0.025188,0.014108,0.053622,0.069148,0.088837,0.156742
dr-ibt,500.0,0.074253,0.025831,0.010356,0.056541,0.073448,0.091189,0.166559
dr-ibt (tau=0),500.0,0.087728,0.027416,0.021121,0.068065,0.087157,0.105832,0.183689
dm,500.0,0.102031,0.029783,0.036048,0.080379,0.099019,0.120277,0.228949
dr,500.0,0.072953,0.025825,0.019168,0.053511,0.069471,0.08919,0.175882
mrdr,500.0,0.072796,0.026893,0.015253,0.052411,0.070788,0.088968,0.181135
dr-os (oracle),500.0,0.075835,0.025363,0.021962,0.0574,0.073055,0.089667,0.163643
dr-os,500.0,0.07587,0.02538,0.021962,0.0574,0.073055,0.089667,0.163643
switch-dr (oracle),500.0,0.073182,0.024287,0.015818,0.056512,0.070624,0.087137,0.157645
switch-dr,500.0,0.073428,0.02427,0.015818,0.057051,0.071219,0.087186,0.157645
