,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000135,0.000366,0.0,0.0,5e-06,7.8e-05,0.003863
dr-ibt,500.0,0.000364,0.000595,0.0,2.8e-05,0.000149,0.000469,0.005548
dr-ibt (tau=0),500.0,0.00041,0.000493,0.0,5.6e-05,0.000247,0.000596,0.004058
dm,500.0,0.011389,0.005789,0.000974,0.007084,0.010252,0.014936,0.03471
dr,500.0,0.000698,0.000967,0.0,7e-05,0.00032,0.000919,0.006364
mrdr,500.0,0.000543,0.000744,0.0,4.2e-05,0.00024,0.00069,0.003959
dr-os (oracle),500.0,0.000414,0.00079,0.0,1.6e-05,0.000112,0.000408,0.006441
dr-os,500.0,0.000689,0.00096,0.0,6.2e-05,0.00031,0.00089,0.006441
switch-dr (oracle),500.0,0.000524,0.000835,0.0,3.6e-05,0.000149,0.000622,0.006364
switch-dr,500.0,0.000698,0.000967,0.0,7e-05,0.00032,0.000919,0.006364
