,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.073477,0.02609,0.019524,0.055852,0.070237,0.088526,0.1587
dr-ibt,500.0,0.076517,0.026398,0.020803,0.057312,0.073637,0.091718,0.162558
dr-ibt (tau=0),500.0,0.110578,0.031511,0.033861,0.08671,0.10832,0.130702,0.223431
dm,500.0,0.102359,0.027232,0.039355,0.083041,0.100881,0.117598,0.205001
dr,500.0,0.075159,0.02508,0.016387,0.056857,0.07304,0.091289,0.156322
mrdr,500.0,0.074948,0.025456,0.016077,0.056458,0.073776,0.091979,0.150424
dr-os (oracle),500.0,0.075417,0.026072,0.018639,0.055783,0.074451,0.090853,0.17754
dr-os,500.0,0.075505,0.026191,0.018639,0.055783,0.074451,0.090864,0.17754
switch-dr (oracle),500.0,0.073022,0.025656,0.014677,0.054731,0.070806,0.087067,0.18715
switch-dr,500.0,0.073731,0.025827,0.014677,0.055448,0.071472,0.088059,0.190323
