,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.072634,0.041102,0.002103,0.04041,0.067444,0.095481,0.304579
dr-ibt,500.0,0.079888,0.042486,0.006534,0.048066,0.074799,0.105003,0.28245
dr-ibt (tau=0),500.0,0.116753,0.055938,0.008681,0.076331,0.106339,0.149327,0.334863
dm,500.0,0.103276,0.045863,0.013911,0.070596,0.09704,0.129398,0.28024
dr,500.0,0.078226,0.041194,0.001479,0.048946,0.072755,0.100161,0.254462
mrdr,500.0,0.079256,0.044554,0.000184,0.046454,0.073364,0.102848,0.311543
dr-os (oracle),500.0,0.074011,0.042012,0.001741,0.041879,0.067,0.098414,0.23686
dr-os,500.0,0.074885,0.042819,0.001741,0.04281,0.067763,0.099621,0.236946
switch-dr (oracle),500.0,0.071181,0.037193,0.003491,0.044238,0.064924,0.092283,0.236453
switch-dr,500.0,0.075655,0.039174,0.003905,0.046129,0.070782,0.099379,0.236453
