,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.031947,0.033935,0.002338,0.00579,0.009266,0.063537,0.133105
dr-ibt,500.0,0.072333,0.012374,0.03585,0.063202,0.071621,0.079408,0.122981
dr-ibt (tau=0),500.0,0.172122,0.239011,0.002909,0.006453,0.009995,0.484916,0.603612
dm,500.0,0.100348,0.014327,0.064665,0.090429,0.100232,0.109078,0.145399
dr,500.0,0.070762,0.012575,0.042185,0.062205,0.0699,0.078616,0.117737
mrdr,500.0,0.070686,0.012485,0.040477,0.06218,0.069815,0.078613,0.115045
dr-os (oracle),500.0,0.071695,0.012861,0.041977,0.062388,0.070756,0.080068,0.119497
dr-os,500.0,0.071695,0.012861,0.041977,0.062388,0.070756,0.080068,0.119497
switch-dr (oracle),500.0,0.071506,0.012003,0.039716,0.062922,0.070828,0.079118,0.104072
switch-dr,500.0,0.072081,0.01208,0.040874,0.063236,0.071462,0.07989,0.104072
