,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,1.4e-05,4.1e-05,0.0,0.0,1e-06,6e-06,0.000441
dr-ibt,500.0,7.5e-05,0.000108,0.0,7e-06,3.6e-05,9.5e-05,0.000767
dr-ibt (tau=0),500.0,0.000604,0.000368,1e-06,0.000322,0.000558,0.000862,0.001868
dm,500.0,0.011682,0.002942,0.004644,0.009666,0.011488,0.013309,0.020715
dr,500.0,0.000186,0.000253,0.0,2.1e-05,8.3e-05,0.000252,0.002064
mrdr,500.0,8.5e-05,0.000122,0.0,1e-05,3.9e-05,0.00011,0.001144
dr-os (oracle),500.0,0.000119,0.000188,0.0,6e-06,3e-05,0.000154,0.001494
dr-os,500.0,0.000184,0.000248,0.0,1.8e-05,7.9e-05,0.000263,0.001972
switch-dr (oracle),500.0,0.000133,0.000209,0.0,9e-06,4.1e-05,0.000166,0.001413
switch-dr,500.0,0.000186,0.000253,0.0,2.1e-05,8.3e-05,0.000252,0.002064
