,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.071007,0.024014,0.019359,0.054253,0.068479,0.085694,0.169317
dr-ibt,500.0,0.073108,0.024344,0.020981,0.055371,0.070974,0.089683,0.165822
dr-ibt (tau=0),500.0,0.107055,0.03047,0.035458,0.085162,0.105252,0.126911,0.21187
dm,500.0,0.099923,0.026913,0.019882,0.082351,0.097524,0.119282,0.191614
dr,500.0,0.072247,0.025043,0.008704,0.054371,0.070824,0.088655,0.158109
mrdr,500.0,0.072381,0.025232,0.011113,0.054085,0.068808,0.087756,0.174447
dr-os (oracle),500.0,0.071215,0.025173,0.015419,0.053408,0.068111,0.086679,0.160202
dr-os,500.0,0.071263,0.025202,0.015419,0.053444,0.068111,0.086679,0.160202
switch-dr (oracle),500.0,0.070858,0.027202,0.014388,0.051672,0.066955,0.088439,0.193367
switch-dr,500.0,0.072198,0.027664,0.014388,0.052326,0.068572,0.08906,0.193367
