,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.048579,0.054131,2e-06,0.005722,0.028758,0.075073,0.373317
dr-ibt,500.0,0.074431,0.105892,1e-06,0.012835,0.040529,0.106671,1.0
dr-ibt (tau=0),500.0,0.12504,0.062005,0.00482,0.080339,0.115719,0.165082,0.380249
dm,500.0,0.150057,0.064023,0.017247,0.100737,0.142625,0.192837,0.370883
dr,500.0,0.068793,0.097208,5e-06,0.011349,0.036779,0.088951,1.0
mrdr,500.0,0.070856,0.100128,0.0,0.010423,0.042101,0.095432,1.0
dr-os (oracle),500.0,0.052994,0.054716,0.0,0.00703,0.035054,0.079471,0.287809
dr-os,500.0,0.061999,0.066776,0.0,0.010595,0.039518,0.090891,0.316563
switch-dr (oracle),500.0,0.042496,0.048378,0.0,0.005344,0.025189,0.058574,0.258777
switch-dr,500.0,0.063428,0.078112,1e-06,0.011767,0.03617,0.082338,0.569525
