,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00456,0.009328,0.0,6e-06,0.000649,0.004838,0.076487
dr-ibt,500.0,0.008491,0.025137,0.0,0.000653,0.002984,0.009502,0.507179
dr-ibt (tau=0),500.0,0.006456,0.011027,0.0,0.000489,0.002314,0.007017,0.090763
dm,500.0,0.343458,0.068017,0.172755,0.295981,0.33966,0.397555,0.518603
dr,500.0,0.02277,0.048517,0.0,0.002126,0.009924,0.030408,0.883157
mrdr,500.0,0.009685,0.018327,0.0,0.000785,0.004207,0.011305,0.232643
dr-os (oracle),500.0,0.015425,0.026227,0.0,0.000387,0.003079,0.019685,0.231196
dr-os,500.0,0.021313,0.029064,0.0,0.002276,0.010234,0.02898,0.231196
switch-dr (oracle),500.0,0.013921,0.024611,0.0,0.000527,0.003112,0.016548,0.224406
switch-dr,500.0,0.02277,0.048517,0.0,0.002126,0.009924,0.030408,0.883157
