,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.04039,0.033901,2e-06,0.014315,0.033602,0.055743,0.188672
dr-ibt,500.0,0.042343,0.031679,4.1e-05,0.019944,0.035074,0.058957,0.182099
dr-ibt (tau=0),500.0,0.181126,0.043933,0.054834,0.149115,0.180937,0.212447,0.319308
dm,500.0,0.161939,0.032547,0.082214,0.139705,0.160582,0.180324,0.279417
dr,500.0,0.039638,0.032112,0.0,0.015165,0.033292,0.055189,0.19568
mrdr,500.0,0.039626,0.034232,0.0,0.01512,0.032443,0.055705,0.237144
dr-os (oracle),500.0,0.045521,0.033967,7e-06,0.021278,0.038128,0.061801,0.178688
dr-os,500.0,0.046305,0.03499,7e-06,0.021327,0.038222,0.062581,0.185096
switch-dr (oracle),500.0,0.041423,0.031634,0.0,0.01663,0.035592,0.059926,0.165665
switch-dr,500.0,0.045915,0.035041,0.0,0.01833,0.039901,0.066053,0.198562
