,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001803,0.004634,0.0,5e-06,8.1e-05,0.001273,0.055691
dr-ibt,500.0,0.010463,0.054511,0.0,0.00057,0.002452,0.007005,0.75202
dr-ibt (tau=0),500.0,0.008879,0.012287,0.0,0.001721,0.005371,0.013571,0.160159
dm,500.0,0.237545,0.048774,0.126921,0.206142,0.235571,0.271272,0.402252
dr,500.0,0.029961,0.106639,0.0,0.001461,0.006619,0.020731,0.823527
mrdr,500.0,0.02254,0.099712,0.0,0.000771,0.003196,0.011138,0.838644
dr-os (oracle),500.0,0.00635,0.012233,0.0,0.000161,0.000974,0.006517,0.085264
dr-os,500.0,0.013361,0.020041,0.0,0.001221,0.005982,0.018591,0.17859
switch-dr (oracle),500.0,0.007209,0.011596,0.0,0.000356,0.002335,0.008643,0.08237
switch-dr,500.0,0.029961,0.106639,0.0,0.001461,0.006619,0.020731,0.823527
