,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00134,0.004128,0.0,5e-06,7.6e-05,0.000992,0.037403
dr-ibt,500.0,0.003998,0.019219,0.0,0.000273,0.001258,0.003701,0.401124
dr-ibt (tau=0),500.0,0.011088,0.022904,0.0,0.000555,0.005175,0.010155,0.189896
dm,500.0,0.207355,0.03427,0.108667,0.184958,0.20491,0.23072,0.317004
dr,500.0,0.011784,0.034906,0.0,0.000911,0.004377,0.012523,0.627667
mrdr,500.0,0.008207,0.036309,0.0,0.000347,0.001627,0.004941,0.559412
dr-os (oracle),500.0,0.00483,0.008426,0.0,0.000166,0.000974,0.005749,0.054655
dr-os,500.0,0.007933,0.010249,0.0,0.000938,0.00379,0.011036,0.059668
switch-dr (oracle),500.0,0.004554,0.007882,0.0,0.000154,0.000908,0.005374,0.05329
switch-dr,500.0,0.011784,0.034906,0.0,0.000911,0.004377,0.012523,0.627667
