,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.037456,0.030071,0.0,0.015075,0.029973,0.0521,0.16971
dr-ibt,500.0,0.045097,0.034364,6e-06,0.019384,0.036981,0.063756,0.211653
dr-ibt (tau=0),500.0,0.047464,0.034331,3e-06,0.021259,0.040068,0.066745,0.177017
dm,500.0,0.175053,0.039701,0.071802,0.147706,0.171682,0.198681,0.323062
dr,500.0,0.046945,0.039124,0.0,0.018168,0.038303,0.066566,0.263878
mrdr,500.0,0.045641,0.03891,0.0,0.0181,0.036362,0.064088,0.300929
dr-os (oracle),500.0,0.046443,0.034044,1e-06,0.020747,0.04065,0.065734,0.191155
dr-os,500.0,0.046575,0.034143,6.9e-05,0.020747,0.040719,0.065734,0.191155
switch-dr (oracle),500.0,0.044007,0.03359,4e-06,0.019376,0.036249,0.062109,0.242661
switch-dr,500.0,0.046062,0.035199,5e-06,0.020112,0.039034,0.064167,0.242661
