,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.038854,0.029259,0.0,0.016074,0.033969,0.055519,0.171957
dr-ibt,500.0,0.041971,0.037265,1e-05,0.016355,0.033999,0.057337,0.426337
dr-ibt (tau=0),500.0,0.137604,0.033342,0.052068,0.115803,0.135229,0.159947,0.287193
dm,500.0,0.166024,0.032555,0.074632,0.142979,0.165551,0.186349,0.273358
dr,500.0,0.044507,0.036894,0.0,0.017299,0.03545,0.060226,0.238866
mrdr,500.0,0.043763,0.038513,4e-06,0.015265,0.033213,0.062868,0.208269
dr-os (oracle),500.0,0.041674,0.030688,8e-06,0.017609,0.037068,0.059667,0.157457
dr-os,500.0,0.042568,0.032015,1e-05,0.01768,0.037297,0.060215,0.197691
switch-dr (oracle),500.0,0.036956,0.028632,0.0,0.01282,0.031762,0.05443,0.14306
switch-dr,500.0,0.040446,0.032198,1e-06,0.014384,0.035037,0.057891,0.247896
