,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.010862,0.019964,0.0,7.9e-05,0.001987,0.010868,0.121821
dr-ibt,500.0,0.021605,0.05957,0.0,0.001564,0.007348,0.02409,1.0
dr-ibt (tau=0),500.0,0.015662,0.023395,0.0,0.001646,0.00657,0.017814,0.151112
dm,500.0,0.197194,0.069157,0.024553,0.146968,0.192825,0.240358,0.404959
dr,500.0,0.04341,0.117331,0.0,0.002839,0.013457,0.043467,1.0
mrdr,500.0,0.037583,0.116098,1e-06,0.002418,0.009066,0.028707,1.0
dr-os (oracle),500.0,0.014798,0.026739,0.0,0.000302,0.002325,0.016262,0.16647
dr-os,500.0,0.029869,0.052527,0.0,0.00274,0.012671,0.038741,0.633895
switch-dr (oracle),500.0,0.015106,0.025448,0.0,0.000751,0.003926,0.016645,0.155094
switch-dr,500.0,0.04341,0.117331,0.0,0.002839,0.013457,0.043467,1.0
