,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001421,0.002924,0.0,3e-06,0.000103,0.001509,0.023694
dr-ibt,500.0,0.004965,0.018431,0.0,0.000542,0.001938,0.005084,0.28815
dr-ibt (tau=0),500.0,0.00702,0.007953,0.0,0.001231,0.00429,0.0107,0.072521
dm,500.0,0.174249,0.04411,0.053308,0.144822,0.175313,0.201343,0.329077
dr,500.0,0.011112,0.020541,0.0,0.001027,0.004979,0.012587,0.270954
mrdr,500.0,0.008008,0.012658,0.0,0.000735,0.003416,0.009847,0.127779
dr-os (oracle),500.0,0.003445,0.006848,0.0,7.3e-05,0.000688,0.00293,0.051616
dr-os,500.0,0.009517,0.01408,0.0,0.000866,0.004574,0.011781,0.109553
switch-dr (oracle),500.0,0.003368,0.006625,0.0,0.000169,0.000718,0.003129,0.050437
switch-dr,500.0,0.011112,0.020541,0.0,0.001027,0.004979,0.012587,0.270954
