,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.029234,0.026431,0.0,0.008983,0.022217,0.042089,0.129394
dr-ibt,500.0,0.035293,0.034042,4e-06,0.010495,0.027757,0.048087,0.247036
dr-ibt (tau=0),500.0,0.108221,0.031668,0.029095,0.086735,0.105355,0.12682,0.216306
dm,500.0,0.129086,0.027788,0.046334,0.109945,0.127707,0.147468,0.21567
dr,500.0,0.036994,0.032026,0.0,0.013017,0.030072,0.051355,0.214642
mrdr,500.0,0.038435,0.038317,7e-06,0.011612,0.028273,0.051378,0.235214
dr-os (oracle),500.0,0.037904,0.028051,2e-06,0.015743,0.032702,0.054374,0.155461
dr-os,500.0,0.039913,0.03058,6e-06,0.016464,0.033276,0.056806,0.155461
switch-dr (oracle),500.0,0.02737,0.023219,1e-06,0.007785,0.023063,0.041048,0.129402
switch-dr,500.0,0.032613,0.027698,1e-06,0.009256,0.026191,0.048197,0.146078
