,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.033004,0.025009,1e-06,0.01371,0.027456,0.045354,0.125679
dr-ibt,500.0,0.043017,0.027537,1e-05,0.022232,0.039596,0.058252,0.169259
dr-ibt (tau=0),500.0,0.085669,0.051916,0.007956,0.04482,0.077977,0.109899,0.26424
dm,500.0,0.166354,0.028771,0.071807,0.145924,0.162887,0.185308,0.256255
dr,500.0,0.047577,0.03182,5e-06,0.023591,0.042114,0.063378,0.240178
mrdr,500.0,0.047098,0.031949,4e-06,0.024196,0.040946,0.063384,0.261738
dr-os (oracle),500.0,0.046537,0.029023,0.0,0.025269,0.04114,0.062079,0.142026
dr-os,500.0,0.04658,0.029137,0.0,0.025269,0.04114,0.062079,0.145535
switch-dr (oracle),500.0,0.042846,0.026433,3e-06,0.022499,0.038692,0.058905,0.139078
switch-dr,500.0,0.044129,0.029087,3.6e-05,0.023344,0.039449,0.059603,0.26399
