,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.015416,0.030292,0.0,8.7e-05,0.002322,0.016226,0.236083
dr-ibt,500.0,0.021691,0.03405,0.0,0.001913,0.00796,0.027113,0.254397
dr-ibt (tau=0),500.0,0.019876,0.033738,0.0,0.00135,0.006144,0.023476,0.236083
dm,500.0,0.32715,0.078192,0.111287,0.270784,0.327969,0.382229,0.53205
dr,500.0,0.039945,0.054648,0.0,0.004429,0.018411,0.050147,0.320573
mrdr,500.0,0.027497,0.047822,2e-06,0.002351,0.010548,0.034195,0.692709
dr-os (oracle),500.0,0.023918,0.043699,0.0,0.000458,0.004378,0.030355,0.321702
dr-os,500.0,0.038835,0.052323,2e-06,0.004403,0.017611,0.049199,0.321702
switch-dr (oracle),500.0,0.024209,0.042397,0.0,0.001445,0.006516,0.028909,0.320573
switch-dr,500.0,0.039945,0.054648,0.0,0.004429,0.018411,0.050147,0.320573
