,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.015807,0.020548,0.0,0.001756,0.006983,0.021726,0.118064
dr-ibt,500.0,0.024278,0.025405,0.0,0.004949,0.016075,0.037892,0.18395
dr-ibt (tau=0),500.0,0.082822,0.023315,0.021502,0.066582,0.080713,0.099241,0.158737
dm,500.0,0.099181,0.014935,0.056353,0.088743,0.098734,0.108745,0.143266
dr,500.0,0.018256,0.021216,0.0,0.00286,0.011038,0.025301,0.136284
mrdr,500.0,0.02078,0.027777,0.0,0.002311,0.010651,0.027242,0.183265
dr-os (oracle),500.0,0.02196,0.02235,0.0,0.005074,0.014854,0.03217,0.11251
dr-os,500.0,0.02212,0.022797,0.0,0.005074,0.014854,0.03217,0.117478
switch-dr (oracle),500.0,0.016079,0.020102,0.0,0.001271,0.007344,0.024456,0.110125
switch-dr,500.0,0.019125,0.022375,0.0,0.002932,0.010923,0.026737,0.143928
