,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.026392,0.030792,0.0,0.002651,0.013764,0.042001,0.194047
dr-ibt,500.0,0.039226,0.042254,0.0,0.006484,0.024295,0.056707,0.287425
dr-ibt (tau=0),500.0,0.05862,0.034385,0.000148,0.032844,0.053712,0.079986,0.198275
dm,500.0,0.088414,0.022205,0.033727,0.073101,0.086466,0.103264,0.146571
dr,500.0,0.037036,0.046268,1e-06,0.004329,0.019048,0.052697,0.33788
mrdr,500.0,0.043025,0.055109,0.0,0.004969,0.021815,0.062135,0.363828
dr-os (oracle),500.0,0.029067,0.030921,0.0,0.003881,0.018726,0.043984,0.145635
dr-os,500.0,0.034179,0.042431,0.0,0.003881,0.018726,0.04606,0.248791
switch-dr (oracle),500.0,0.019696,0.02486,0.0,0.001663,0.009613,0.028403,0.117303
switch-dr,500.0,0.0327,0.046835,0.0,0.00415,0.016289,0.043462,0.480602
