,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000127,0.000414,0.0,9e-06,3.7e-05,0.000128,0.007694
dr-ibt,500.0,0.003228,0.004417,0.0,0.000431,0.001484,0.004082,0.028097
dr-ibt (tau=0),500.0,0.02261,0.015101,1e-06,0.011085,0.020466,0.031447,0.087148
dm,500.0,0.340041,0.005287,0.326333,0.336239,0.340032,0.343779,0.355733
dr,500.0,0.005539,0.006991,0.0,0.000543,0.002723,0.007913,0.039763
mrdr,500.0,0.002633,0.003582,0.0,0.000306,0.001081,0.003545,0.023845
dr-os (oracle),500.0,0.010491,0.011492,0.0,0.001725,0.007212,0.01545,0.06379
dr-os,500.0,0.010491,0.011492,0.0,0.001725,0.007212,0.01545,0.06379
switch-dr (oracle),500.0,0.003961,0.005938,0.0,0.00029,0.00149,0.005192,0.039763
switch-dr,500.0,0.005539,0.006991,0.0,0.000543,0.002723,0.007913,0.039763
