,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.0403,0.055931,0.0,0.003181,0.018789,0.056036,0.382225
dr-ibt,500.0,0.073567,0.069334,1e-06,0.017509,0.05623,0.110783,0.382111
dr-ibt (tau=0),500.0,0.249037,0.046771,0.103939,0.218245,0.247194,0.280094,0.382225
dm,500.0,0.325705,0.023228,0.237212,0.311487,0.327054,0.341312,0.38147
dr,500.0,0.05787,0.082657,0.0,0.00634,0.027596,0.074232,0.576219
mrdr,500.0,0.054055,0.077054,0.0,0.006003,0.025719,0.067018,0.52837
dr-os (oracle),500.0,0.046595,0.056226,0.0,0.007131,0.025518,0.069539,0.38147
dr-os,500.0,0.048268,0.060468,0.0,0.007131,0.025518,0.069539,0.382136
switch-dr (oracle),500.0,0.033372,0.050083,0.0,0.002741,0.013459,0.042887,0.38147
switch-dr,500.0,0.05787,0.082657,0.0,0.00634,0.027596,0.074232,0.576219
