,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.003181,0.004782,0.0,0.000151,0.001083,0.004258,0.029608
dr-ibt,500.0,0.003594,0.004799,0.0,0.000306,0.001625,0.00498,0.029623
dr-ibt (tau=0),500.0,0.005899,0.006486,0.0,0.001144,0.003814,0.008039,0.038533
dm,500.0,0.344145,0.005104,0.330836,0.340848,0.344081,0.347538,0.361836
dr,500.0,0.00562,0.007837,0.0,0.000547,0.002731,0.007121,0.049347
mrdr,500.0,0.002612,0.003565,0.0,0.000253,0.001181,0.003331,0.023579
dr-os (oracle),500.0,0.011912,0.012031,0.0,0.002801,0.008157,0.017757,0.073226
dr-os,500.0,0.011912,0.012031,0.0,0.002801,0.008157,0.017757,0.073226
switch-dr (oracle),500.0,0.00397,0.006021,0.0,0.000181,0.001357,0.005199,0.044689
switch-dr,500.0,0.00562,0.007837,0.0,0.000547,0.002731,0.007121,0.049347
