,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.01421,0.017701,0.0,0.001741,0.006423,0.020728,0.102246
dr-ibt,500.0,0.023795,0.024885,0.0,0.004665,0.016214,0.034131,0.176065
dr-ibt (tau=0),500.0,0.088992,0.021457,0.02441,0.073921,0.088499,0.103392,0.162003
dm,500.0,0.09453,0.013489,0.056263,0.085187,0.094168,0.103438,0.13344
dr,500.0,0.017416,0.022442,0.0,0.002244,0.008067,0.024031,0.120186
mrdr,500.0,0.02156,0.029308,0.0,0.001985,0.009784,0.029422,0.188566
dr-os (oracle),500.0,0.019482,0.021881,0.0,0.003283,0.011766,0.028321,0.109434
dr-os,500.0,0.019785,0.02315,0.0,0.003283,0.011766,0.028321,0.176098
switch-dr (oracle),500.0,0.013634,0.017182,0.0,0.001255,0.00627,0.020666,0.106379
switch-dr,500.0,0.016257,0.019442,1e-06,0.002331,0.008412,0.023873,0.121563
