,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.007236,0.007738,0.0,0.001579,0.004267,0.010724,0.047404
dr-ibt,500.0,0.009154,0.008815,1e-06,0.00245,0.007017,0.013187,0.054237
dr-ibt (tau=0),500.0,0.083113,0.010809,0.057162,0.075555,0.082981,0.090789,0.115567
dm,500.0,0.093101,0.006369,0.075855,0.088599,0.093212,0.097374,0.110933
dr,500.0,0.007207,0.007478,0.0,0.001541,0.004735,0.010514,0.042227
mrdr,500.0,0.007479,0.008351,0.0,0.001275,0.004477,0.010721,0.050374
dr-os (oracle),500.0,0.01238,0.0088,2e-06,0.005731,0.010749,0.016891,0.05931
dr-os,500.0,0.01238,0.0088,2e-06,0.005731,0.010749,0.016891,0.05931
switch-dr (oracle),500.0,0.007157,0.008043,1e-06,0.001243,0.004539,0.010494,0.057097
switch-dr,500.0,0.007317,0.008147,1e-06,0.001484,0.004577,0.010663,0.057097
