,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.007256,0.007889,0.0,0.001171,0.004594,0.010201,0.044989
dr-ibt,500.0,0.008798,0.008681,0.0,0.001998,0.006265,0.012847,0.056182
dr-ibt (tau=0),500.0,0.083098,0.010503,0.049454,0.076262,0.082936,0.090135,0.116089
dm,500.0,0.09165,0.006483,0.073379,0.087175,0.091785,0.096421,0.114664
dr,500.0,0.007443,0.008318,0.0,0.001346,0.004766,0.010422,0.053484
mrdr,500.0,0.007858,0.009051,1e-06,0.001555,0.004778,0.01107,0.079911
dr-os (oracle),500.0,0.013737,0.01003,7.6e-05,0.006272,0.011807,0.019307,0.064454
dr-os,500.0,0.013737,0.01003,7.6e-05,0.006272,0.011807,0.019307,0.064454
switch-dr (oracle),500.0,0.006997,0.007635,0.0,0.000962,0.004912,0.010244,0.051968
switch-dr,500.0,0.007327,0.007801,0.0,0.001256,0.005146,0.010444,0.051968
