,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.016899,0.02247,0.0,0.002362,0.008587,0.021849,0.142436
dr-ibt,500.0,0.030127,0.032516,0.0,0.004996,0.019305,0.045013,0.176419
dr-ibt (tau=0),500.0,0.212166,0.036654,0.097717,0.189893,0.211179,0.237484,0.318668
dm,500.0,0.336182,0.012299,0.291935,0.32823,0.336741,0.344924,0.37263
dr,500.0,0.025065,0.034569,0.0,0.003016,0.012745,0.032585,0.319309
mrdr,500.0,0.022307,0.031844,0.0,0.001976,0.009563,0.028452,0.19898
dr-os (oracle),500.0,0.025746,0.0304,0.0,0.003065,0.015119,0.035384,0.162885
dr-os,500.0,0.025746,0.0304,0.0,0.003065,0.015119,0.035384,0.162885
switch-dr (oracle),500.0,0.015463,0.023209,0.0,0.000921,0.005455,0.019783,0.13814
switch-dr,500.0,0.025065,0.034569,0.0,0.003016,0.012745,0.032585,0.319309
