,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.014035,0.021545,0.0,0.001481,0.006282,0.017496,0.16539
dr-ibt,500.0,0.027662,0.030894,0.0,0.004863,0.017019,0.039706,0.232468
dr-ibt (tau=0),500.0,0.198415,0.035608,0.081188,0.175684,0.198411,0.223052,0.315333
dm,500.0,0.329431,0.011887,0.290836,0.321446,0.328749,0.337648,0.36
dr,500.0,0.021745,0.029318,0.0,0.002218,0.010488,0.028285,0.176439
mrdr,500.0,0.020135,0.028354,0.0,0.001964,0.009135,0.026747,0.190935
dr-os (oracle),500.0,0.021308,0.026892,0.0,0.002967,0.011747,0.028877,0.173976
dr-os,500.0,0.021308,0.026892,0.0,0.002967,0.011747,0.028877,0.173976
switch-dr (oracle),500.0,0.013923,0.021637,0.0,0.001054,0.005846,0.01719,0.15635
switch-dr,500.0,0.021745,0.029318,0.0,0.002218,0.010488,0.028285,0.176439
