,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.008639,0.008408,0.0,0.001596,0.006479,0.013308,0.041192
dr-ibt,500.0,0.010101,0.008734,3e-06,0.003189,0.007851,0.015011,0.047781
dr-ibt (tau=0),500.0,0.090688,0.00659,0.072102,0.086471,0.090658,0.09523,0.11074
dm,500.0,0.096126,0.006919,0.074817,0.091585,0.09576,0.10058,0.117969
dr,500.0,0.007451,0.007116,0.0,0.001865,0.00571,0.01092,0.039892
mrdr,500.0,0.007483,0.007492,1e-06,0.001756,0.005513,0.01108,0.045904
dr-os (oracle),500.0,0.014026,0.009814,1.2e-05,0.006782,0.01215,0.019411,0.075288
dr-os,500.0,0.014026,0.009814,1.2e-05,0.006782,0.01215,0.019411,0.075288
switch-dr (oracle),500.0,0.007651,0.007563,0.0,0.001533,0.005398,0.011673,0.038382
switch-dr,500.0,0.007898,0.007734,0.0,0.001702,0.005429,0.011673,0.038382
