,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000133,0.000324,0.0,9e-06,4.3e-05,0.000134,0.004178
dr-ibt,500.0,0.003137,0.004031,0.0,0.0003,0.001452,0.004693,0.027049
dr-ibt (tau=0),500.0,0.01951,0.014248,1e-06,0.008034,0.017422,0.027242,0.072624
dm,500.0,0.33912,0.005058,0.32218,0.335859,0.339236,0.342437,0.358419
dr,500.0,0.005349,0.008072,0.0,0.000475,0.002243,0.006996,0.075724
mrdr,500.0,0.002701,0.003923,0.0,0.000343,0.001279,0.003507,0.029588
dr-os (oracle),500.0,0.011467,0.011991,0.0,0.002979,0.007466,0.016103,0.105336
dr-os,500.0,0.011467,0.011991,0.0,0.002979,0.007466,0.016103,0.105336
switch-dr (oracle),500.0,0.003978,0.006542,0.0,0.000274,0.001369,0.005089,0.075724
switch-dr,500.0,0.005349,0.008072,0.0,0.000475,0.002243,0.006996,0.075724
