,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.033731,0.029915,0.0,0.011457,0.025775,0.049666,0.218934
dr-ibt,500.0,0.044698,0.037455,0.0,0.016065,0.035316,0.062502,0.228589
dr-ibt (tau=0),500.0,0.050222,0.040867,9e-06,0.01937,0.041981,0.071451,0.242892
dm,500.0,0.175003,0.03306,0.09363,0.152913,0.173942,0.193654,0.27084
dr,500.0,0.042677,0.036481,2.1e-05,0.014339,0.034345,0.060408,0.241419
mrdr,500.0,0.041677,0.040232,3e-06,0.012168,0.032487,0.058154,0.27033
dr-os (oracle),500.0,0.042791,0.038109,1e-06,0.013183,0.032348,0.06337,0.187563
dr-os,500.0,0.04288,0.038385,1e-06,0.013183,0.032348,0.06337,0.195269
switch-dr (oracle),500.0,0.040128,0.033548,1e-06,0.015352,0.034541,0.056957,0.260932
switch-dr,500.0,0.042713,0.037013,1e-06,0.015785,0.035621,0.059659,0.282036
