,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,6.9e-05,0.000176,0.0,1e-06,5e-06,3.4e-05,0.001227
dr-ibt,500.0,0.001062,0.001552,0.0,0.000104,0.00043,0.001303,0.010158
dr-ibt (tau=0),500.0,0.003994,0.004207,0.0,0.000599,0.002568,0.006287,0.021688
dm,500.0,0.38759,0.012595,0.347282,0.379636,0.387127,0.396416,0.428138
dr,500.0,0.001416,0.001926,0.0,0.000162,0.00065,0.001871,0.010517
mrdr,500.0,0.000331,0.00043,0.0,3.8e-05,0.000177,0.000451,0.002509
dr-os (oracle),500.0,0.001351,0.001785,0.0,0.000158,0.000644,0.001882,0.009472
dr-os,500.0,0.001351,0.001785,0.0,0.000158,0.000644,0.001882,0.009472
switch-dr (oracle),500.0,0.000887,0.001356,0.0,5.8e-05,0.000326,0.001161,0.010002
switch-dr,500.0,0.001416,0.001926,0.0,0.000162,0.00065,0.001871,0.010517
