,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.002582,0.005762,0.0,2.7e-05,0.000238,0.001948,0.036417
dr-ibt,500.0,0.004889,0.007615,0.0,0.000429,0.002016,0.006099,0.065405
dr-ibt (tau=0),500.0,0.008593,0.012126,0.0,0.000778,0.003607,0.011541,0.076366
dm,500.0,0.329827,0.041582,0.216676,0.299731,0.328145,0.355583,0.462819
dr,500.0,0.014515,0.019709,0.0,0.001625,0.006609,0.01911,0.173098
mrdr,500.0,0.007174,0.009546,0.0,0.000708,0.003497,0.010688,0.06897
dr-os (oracle),500.0,0.014201,0.019148,0.0,0.001671,0.006549,0.01966,0.165643
dr-os,500.0,0.014304,0.019488,0.0,0.001671,0.006549,0.01966,0.165643
switch-dr (oracle),500.0,0.010225,0.016031,0.0,0.000931,0.003575,0.012289,0.119831
switch-dr,500.0,0.014515,0.019709,0.0,0.001625,0.006609,0.01911,0.173098
