,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.029481,0.018727,0.0,0.015787,0.026548,0.039609,0.117129
dr-ibt,500.0,0.037473,0.023156,0.000276,0.020588,0.033283,0.050549,0.137124
dr-ibt (tau=0),500.0,0.035559,0.023487,9e-06,0.017676,0.031991,0.048228,0.151485
dm,500.0,0.185974,0.020101,0.133692,0.172202,0.186171,0.198941,0.245582
dr,500.0,0.038242,0.02212,0.000827,0.021173,0.035116,0.052157,0.127692
mrdr,500.0,0.038738,0.023938,0.00052,0.020432,0.034904,0.054201,0.129575
dr-os (oracle),500.0,0.037468,0.020761,6.1e-05,0.022587,0.03548,0.049335,0.130947
dr-os,500.0,0.037468,0.020761,6.1e-05,0.022587,0.03548,0.049335,0.130947
switch-dr (oracle),500.0,0.035784,0.020175,0.000529,0.021233,0.032018,0.048198,0.125781
switch-dr,500.0,0.036544,0.020861,0.000529,0.021406,0.032924,0.049155,0.154259
