,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,5.3e-05,0.000172,0.0,1e-06,6e-06,3.3e-05,0.00212
dr-ibt,500.0,0.001291,0.001678,0.0,0.000141,0.000629,0.001777,0.00899
dr-ibt (tau=0),500.0,0.003593,0.003616,0.0,0.000662,0.002348,0.005573,0.023253
dm,500.0,0.39745,0.012762,0.360599,0.389714,0.397531,0.406002,0.436873
dr,500.0,0.001509,0.002037,0.0,0.000179,0.000697,0.001959,0.013247
mrdr,500.0,0.000274,0.000342,0.0,2.7e-05,0.000135,0.000432,0.002292
dr-os (oracle),500.0,0.001475,0.001963,0.0,0.00012,0.000683,0.002026,0.012665
dr-os,500.0,0.001475,0.001963,0.0,0.00012,0.000683,0.002026,0.012665
switch-dr (oracle),500.0,0.001051,0.001539,0.0,7.1e-05,0.00044,0.001463,0.011404
switch-dr,500.0,0.001509,0.002037,0.0,0.000179,0.000697,0.001959,0.013247
