,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,9.1e-05,0.00024,0.0,1e-06,9e-06,5e-05,0.001799
dr-ibt,500.0,0.001391,0.001828,0.0,0.000156,0.000667,0.001958,0.012718
dr-ibt (tau=0),500.0,0.004393,0.004231,0.0,0.000726,0.00308,0.00743,0.018159
dm,500.0,0.372987,0.012269,0.338075,0.364651,0.372995,0.381302,0.407794
dr,500.0,0.001466,0.001915,0.0,0.000168,0.000694,0.002122,0.01551
mrdr,500.0,0.000507,0.000599,0.0,8e-05,0.000308,0.000742,0.004383
dr-os (oracle),500.0,0.001315,0.001725,0.0,0.00016,0.000612,0.001776,0.013684
dr-os,500.0,0.001315,0.001725,0.0,0.00016,0.000612,0.001776,0.013684
switch-dr (oracle),500.0,0.000688,0.001096,0.0,4.4e-05,0.000226,0.000862,0.007435
switch-dr,500.0,0.001466,0.001915,0.0,0.000168,0.000694,0.002122,0.01551
