,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00032,0.000884,0.0,1e-06,1.3e-05,0.000177,0.01001
dr-ibt,500.0,0.001716,0.002469,0.0,0.000136,0.000764,0.002321,0.020198
dr-ibt (tau=0),500.0,0.002085,0.002668,0.0,0.000225,0.001122,0.002669,0.019006
dm,500.0,0.376698,0.024728,0.298506,0.358527,0.377824,0.393881,0.4437
dr,500.0,0.005423,0.007301,0.0,0.000672,0.002729,0.007277,0.054014
mrdr,500.0,0.002461,0.003413,0.0,0.000291,0.001213,0.00365,0.027477
dr-os (oracle),500.0,0.005336,0.007076,0.0,0.000598,0.002675,0.007329,0.050557
dr-os,500.0,0.005336,0.007076,0.0,0.000598,0.002675,0.007329,0.050557
switch-dr (oracle),500.0,0.003543,0.005217,0.0,0.000233,0.001392,0.004684,0.036285
switch-dr,500.0,0.005423,0.007301,0.0,0.000672,0.002729,0.007277,0.054014
