,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.026526,0.017004,5e-06,0.013842,0.02349,0.036234,0.09221
dr-ibt,500.0,0.035075,0.020457,4.4e-05,0.020755,0.03158,0.046207,0.109528
dr-ibt (tau=0),500.0,0.031992,0.021445,5e-06,0.015612,0.027668,0.042681,0.116829
dm,500.0,0.181239,0.021824,0.121981,0.166383,0.181642,0.194849,0.252549
dr,500.0,0.035409,0.020463,1.2e-05,0.020329,0.03296,0.047032,0.128233
mrdr,500.0,0.035705,0.023393,1.4e-05,0.017469,0.031279,0.050773,0.121746
dr-os (oracle),500.0,0.034529,0.019911,8.3e-05,0.019975,0.03172,0.047818,0.121806
dr-os,500.0,0.034529,0.019911,8.3e-05,0.019975,0.03172,0.047818,0.121806
switch-dr (oracle),500.0,0.034559,0.019016,0.000335,0.019739,0.031982,0.046228,0.103927
switch-dr,500.0,0.035105,0.019133,0.000335,0.020302,0.032435,0.046761,0.103927
