,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.0306,0.02104,2.9e-05,0.014475,0.025841,0.042546,0.112553
dr-ibt,500.0,0.039882,0.024095,0.001031,0.021626,0.035682,0.052553,0.159113
dr-ibt (tau=0),500.0,0.035585,0.025524,2.9e-05,0.015759,0.029215,0.049314,0.139506
dm,500.0,0.184799,0.020454,0.132876,0.172581,0.184255,0.198375,0.248401
dr,500.0,0.037891,0.021044,0.000246,0.022381,0.035048,0.051401,0.129521
mrdr,500.0,0.038223,0.024565,8e-06,0.020517,0.034561,0.051876,0.153312
dr-os (oracle),500.0,0.038845,0.020966,4.5e-05,0.023784,0.035833,0.051097,0.131283
dr-os,500.0,0.038845,0.020966,4.5e-05,0.023784,0.035833,0.051097,0.131283
switch-dr (oracle),500.0,0.035473,0.019867,0.000201,0.020159,0.033446,0.048346,0.118709
switch-dr,500.0,0.036242,0.020416,0.000201,0.020542,0.034329,0.048815,0.118709
