,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.037437,0.031864,2e-06,0.01346,0.029233,0.054618,0.18027
dr-ibt,500.0,0.045724,0.038128,0.0,0.015906,0.036552,0.066733,0.210588
dr-ibt (tau=0),500.0,0.049821,0.036837,0.00013,0.022507,0.041332,0.069685,0.213378
dm,500.0,0.177628,0.034729,0.093315,0.154324,0.175666,0.199609,0.293843
dr,500.0,0.042431,0.037557,3e-06,0.012311,0.033775,0.062535,0.20705
mrdr,500.0,0.044056,0.038562,0.0,0.013543,0.033488,0.064764,0.23856
dr-os (oracle),500.0,0.03948,0.033426,0.0,0.014323,0.031825,0.05744,0.191158
dr-os,500.0,0.03974,0.03499,0.0,0.014323,0.031825,0.05744,0.310158
switch-dr (oracle),500.0,0.040869,0.035584,1e-06,0.012999,0.031635,0.061289,0.199998
switch-dr,500.0,0.041849,0.036761,5e-06,0.013206,0.032117,0.062095,0.211321
