,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.026948,0.01386,0.000195,0.016966,0.02743,0.035263,0.072774
dr-ibt,500.0,0.037398,0.011478,0.012139,0.029486,0.036084,0.044085,0.07612
dr-ibt (tau=0),500.0,0.036778,0.025878,0.000195,0.017303,0.031196,0.051375,0.167023
dm,500.0,0.197514,0.010665,0.16478,0.190499,0.19735,0.2046,0.233132
dr,500.0,0.037325,0.010936,0.013719,0.028892,0.036594,0.044503,0.07718
mrdr,500.0,0.036808,0.009536,0.015325,0.029871,0.036678,0.042255,0.078963
dr-os (oracle),500.0,0.037709,0.010477,0.007812,0.030455,0.037031,0.045111,0.07077
dr-os,500.0,0.037709,0.010477,0.007812,0.030455,0.037031,0.045111,0.07077
switch-dr (oracle),500.0,0.037794,0.010878,0.012547,0.030036,0.037444,0.045186,0.078247
switch-dr,500.0,0.037943,0.010887,0.013174,0.030152,0.037472,0.0452,0.078247
