,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000356,0.000981,0.0,1e-06,1.3e-05,0.00018,0.007219
dr-ibt,500.0,0.001799,0.002694,0.0,0.000152,0.000699,0.002274,0.017399
dr-ibt (tau=0),500.0,0.001997,0.002483,0.0,0.00026,0.001065,0.002918,0.014547
dm,500.0,0.378111,0.02413,0.285016,0.361823,0.378153,0.394008,0.456372
dr,500.0,0.005449,0.008114,0.0,0.000554,0.002162,0.007177,0.056359
mrdr,500.0,0.002567,0.003599,0.0,0.000211,0.001169,0.003592,0.02798
dr-os (oracle),500.0,0.005304,0.007864,0.0,0.000471,0.00205,0.006556,0.051152
dr-os,500.0,0.005304,0.007864,0.0,0.000471,0.00205,0.006556,0.051152
switch-dr (oracle),500.0,0.003375,0.005642,0.0,0.000168,0.001055,0.003708,0.043199
switch-dr,500.0,0.005449,0.008114,0.0,0.000554,0.002162,0.007177,0.056359
