,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.025316,0.01354,3e-06,0.014939,0.024723,0.035173,0.061617
dr-ibt,500.0,0.036169,0.010028,0.00872,0.029336,0.035712,0.042487,0.069859
dr-ibt (tau=0),500.0,0.033979,0.025073,8.5e-05,0.015597,0.027744,0.048212,0.1357
dm,500.0,0.193589,0.010038,0.161581,0.186861,0.192944,0.200094,0.221596
dr,500.0,0.03596,0.010188,0.010991,0.028225,0.035241,0.042493,0.083926
mrdr,500.0,0.035592,0.009584,0.013056,0.028805,0.034403,0.041174,0.074083
dr-os (oracle),500.0,0.037598,0.010632,0.011327,0.030135,0.036775,0.044492,0.068452
dr-os,500.0,0.037598,0.010632,0.011327,0.030135,0.036775,0.044492,0.068452
switch-dr (oracle),500.0,0.035975,0.010303,0.010037,0.029032,0.035116,0.042659,0.07143
switch-dr,500.0,0.036167,0.010356,0.010037,0.029123,0.035306,0.042881,0.07319
