,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.004373,0.008793,0.0,1.8e-05,0.000409,0.004612,0.071695
dr-ibt,500.0,0.020355,0.031724,0.0,0.00195,0.009498,0.0261,0.317187
dr-ibt (tau=0),500.0,0.01134,0.013501,0.0,0.001321,0.006452,0.01645,0.080639
dm,500.0,0.009796,0.013619,0.0,0.001079,0.004199,0.012612,0.094495
dr,500.0,0.023866,0.047359,0.0,0.001348,0.009652,0.028306,0.710357
mrdr,500.0,0.030958,0.062986,0.0,0.002595,0.012637,0.033404,1.0
dr-os (oracle),500.0,0.003901,0.008354,0.0,2.5e-05,0.000375,0.003344,0.076279
dr-os,500.0,0.020914,0.030194,1e-06,0.002418,0.009792,0.027002,0.226836
switch-dr (oracle),500.0,0.003489,0.008448,0.0,2.6e-05,0.000287,0.002448,0.095064
switch-dr,500.0,0.026456,0.057969,0.0,0.001797,0.008727,0.0316,1.0
