,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.003885,0.008077,0.0,1e-05,0.000234,0.003518,0.059805
dr-ibt,500.0,0.017842,0.055807,0.0,0.001418,0.005784,0.020428,1.0
dr-ibt (tau=0),500.0,0.011564,0.014534,0.0,0.001369,0.005511,0.0173,0.086246
dm,500.0,0.0091,0.01128,0.0,0.001001,0.004927,0.012709,0.085744
dr,500.0,0.019508,0.066231,0.0,0.001684,0.007891,0.01977,1.0
mrdr,500.0,0.022598,0.066845,0.0,0.001883,0.008555,0.026785,1.0
dr-os (oracle),500.0,0.003739,0.007663,0.0,4.2e-05,0.000379,0.003595,0.061705
dr-os,500.0,0.015381,0.020342,0.0,0.001785,0.007269,0.022339,0.188093
switch-dr (oracle),500.0,0.003127,0.006647,0.0,2e-05,0.000359,0.00263,0.059485
switch-dr,500.0,0.019673,0.057658,0.0,0.002241,0.008151,0.020751,1.0
