,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.00478,0.009495,0.0,1.9e-05,0.00041,0.004601,0.059043
dr-ibt,500.0,0.018904,0.049516,0.0,0.00167,0.007732,0.023117,1.0
dr-ibt (tau=0),500.0,0.014931,0.016304,0.0,0.00225,0.009222,0.022728,0.100271
dm,500.0,0.009608,0.013224,0.0,0.001028,0.003923,0.012408,0.090187
dr,500.0,0.020049,0.051577,0.0,0.001823,0.008105,0.022656,1.0
mrdr,500.0,0.027246,0.0691,2e-06,0.002627,0.0117,0.032192,1.0
dr-os (oracle),500.0,0.002831,0.006495,0.0,2.5e-05,0.000271,0.002624,0.062956
dr-os,500.0,0.016215,0.024244,0.0,0.001315,0.006322,0.020269,0.15625
switch-dr (oracle),500.0,0.002635,0.006543,0.0,2.1e-05,0.000211,0.002039,0.061416
switch-dr,500.0,0.020131,0.0529,0.0,0.001689,0.007947,0.023763,1.0
