,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000135,0.000461,0.0,2e-06,1.9e-05,7e-05,0.005383
dr-ibt,500.0,0.001485,0.001968,0.0,0.000145,0.00062,0.002222,0.011262
dr-ibt (tau=0),500.0,0.004196,0.002458,3.6e-05,0.002437,0.00395,0.005477,0.022106
dm,500.0,0.005537,0.002997,0.00026,0.003315,0.004988,0.007365,0.016995
dr,500.0,0.001778,0.002902,0.0,0.00019,0.000794,0.002393,0.035756
mrdr,500.0,0.001656,0.002687,0.0,0.000181,0.000736,0.002123,0.032306
dr-os (oracle),500.0,0.000192,0.000527,0.0,6e-06,3.3e-05,0.000101,0.004853
dr-os,500.0,0.001298,0.001732,0.0,0.000137,0.000592,0.001746,0.010744
switch-dr (oracle),500.0,0.000176,0.000471,0.0,1e-05,4.4e-05,0.000183,0.007027
switch-dr,500.0,0.001754,0.003965,0.0,0.000165,0.000788,0.002328,0.075681
